probeId	ensemblId	geneSymbol	plus	minus	AveExpr	F	P.Value	adj.P.Val
1	AJ457967.CDS2.S1_s_at	NA	NA	5.54703735928739	5.6655603014875	5.60629883038745	1316.75971018062	1.42622479707804e-13	7.29587819404918e-13
2	Gga.1000.1.S1_at	ENSGALG00000008009	BCAP29	7.14068893805188	6.84362075505681	6.99215484655435	1319.17901878929	1.41228559915726e-13	7.239223183328e-13
3	Gga.10001.1.S1_at	NA	NA	6.72893822386329	6.59159497805005	6.66026660095667	801.27907405775	2.02780937509227e-12	6.47060740161021e-12
4	Gga.10004.1.S1_at	ENSGALG00000028602	LOC416212	3.84072349123362	3.87798034317683	3.85935191720523	494.858451061431	2.64159033230058e-11	6.0188173795477e-11
5	Gga.10008.1.S1_at	ENSGALG00000006040	UCKL1	3.71335655568581	3.77991331552593	3.74663493560587	545.958765397861	1.56649051209756e-11	3.79316884868376e-11
6	Gga.10009.1.S1_at	ENSGALG00000009983	NUBPL	3.0390892187536	3.05656235385501	3.0478257863043	373.920821120171	1.16840382572555e-10	2.2586555146469e-10
7	Gga.10010.1.S1_at	ENSGALG00000009840	TBK1	6.68635541606806	5.83851948764205	6.26243745185505	371.443219860522	1.2102736199845e-10	2.33138706048734e-10
8	Gga.10011.1.S1_at	NA	NA	4.7925095263674	5.19925780331292	4.99588366484016	393.419740796938	8.92543843159979e-11	1.7779643575551e-10
9	Gga.10013.1.S1_at	ENSGALG00000010031	ARHGAP10	7.46894477512047	7.16289887933159	7.31592182722603	1188.75857649459	2.46471801145335e-13	1.13432508290522e-12
10	Gga.10015.1.S1_at	ENSGALG00000001058	ARHGEF16	4.25525249373107	4.36627546577006	4.31076397975057	656.791445264338	5.85523649862589e-12	1.61266538072644e-11
11	Gga.10019.1.S1_at	ENSGALG00000009035	GTPBP10	8.41667054045895	8.20874338149133	8.31270696097514	2395.42251977002	5.785324127267e-15	6.85967816739208e-14
12	Gga.1002.1.S1_at	ENSGALG00000025844	AMT	4.92271029826227	5.22548695371774	5.07409862599	769.791679603275	2.5114628473065e-12	7.74764116571165e-12
13	Gga.10022.1.S1_at	ENSGALG00000003099	PCTP	8.46154702478238	8.33813060476519	8.39983881477378	2113.6207836212	1.13147284360389e-14	1.07599092435543e-13
14	Gga.10028.1.S1_at	ENSGALG00000006461	UBE3C	8.48446074749199	8.34425985428452	8.41436030088826	1333.19306376002	1.33464815971843e-13	6.93187826756684e-13
15	Gga.10029.1.S1_at	ENSGALG00000014270	SCRN3	4.75386144938886	4.49630576381157	4.62508360660021	707.724685897927	3.93229580581716e-12	1.14385943835326e-11
16	Gga.10030.1.S1_s_at	ENSGALG00000021573	PIK3R5	6.84497152915763	6.7092910406266	6.77713128489211	623.479772072308	7.7263624091612e-12	2.05299266060651e-11
17	Gga.10033.1.S1_at	ENSGALG00000005774	NKAIN4	8.28175608307293	8.56722748967258	8.42449178637276	2975.28727427545	1.80950345218446e-15	3.33750929438897e-14
18	Gga.10038.1.A1_at	ENSGALG00000015127	GRAMD1C	5.49063008704174	5.09763276960628	5.29413142832401	576.554016118924	1.17197212716479e-11	2.94394619160634e-11
19	Gga.10040.2.S1_at	NA	NA	4.00240740098978	4.07148524560194	4.03694632329586	668.564201172633	5.3263169521607e-12	1.48702041696073e-11
20	Gga.10043.1.S1_at	ENSGALG00000019313	PICK1	7.41428645308768	7.05228688348803	7.23328666828785	1231.71054905841	2.03853936192683e-13	9.75079342878837e-13
21	Gga.10050.1.S1_at	NA	LOC771758	7.29037521810022	7.75253214322712	7.52145368066367	1110.08489427774	3.55453225128575e-13	1.52576112699887e-12
22	Gga.1006.1.S2_at	ENSGALG00000011171	TBP	7.06253454371933	7.1167506239276	7.08964258382347	2409.85661746603	5.60198827271908e-15	6.72149557088881e-14
23	Gga.1006.2.S1_a_at	ENSGALG00000011171	TBP	3.88954953376215	4.1188163825115	4.00418295813682	495.21369414059	2.63153491703876e-11	5.99803956007684e-11
24	Gga.10061.1.S1_s_at	ENSGALG00000004162	SLC16A6	3.09206248293711	2.63394954407158	2.86300601350434	403.617340743718	7.79323372112966e-11	1.57396436572957e-10
25	Gga.10073.1.A1_at	NA	NA	2.89207513600124	2.8283700891459	2.86022261257357	407.478293914491	7.40961097209388e-11	1.50565989926699e-10
26	Gga.10074.1.S1_at	ENSGALG00000008954	RUNDC3B	5.41209312370396	5.02624389042182	5.21916850706289	809.133714373005	1.92494438532162e-12	6.1927529530459e-12
27	Gga.10082.1.S1_at	ENSGALG00000000707	PSMD7	3.33055511683414	3.41785545996225	3.37420528839819	399.19037581082	8.26247035383466e-11	1.65758264854226e-10
28	Gga.10092.1.S1_at	ENSGALG00000016358	PTCHD1	5.52150971157917	5.06510094582817	5.29330532870367	579.760800232198	1.13787707927465e-11	2.86842334556394e-11
29	Gga.10093.1.S1_at	ENSGALG00000013617	PDGFRL	6.23977035878049	6.28474936578085	6.26225986228067	1532.5644208587	6.33027044961402e-14	3.85248472992818e-13
30	Gga.1010.1.S1_at	NA	NA	5.22427631978178	4.90468809002155	5.06448220490167	752.288483775181	2.83931468447174e-12	8.61974314283149e-12
31	Gga.10100.1.S1_at	ENSGALG00000009559	IFT80	6.49705972559543	6.44593561643739	6.47149767101641	1378.80771366187	1.11476559594929e-13	6.00972790702647e-13
32	Gga.10110.1.S1_at	NA	NA	4.09025751031841	4.29882128277019	4.1945393965443	489.351453128506	2.80345460006979e-11	6.339474600941e-11
33	Gga.10111.1.S1_s_at	ENSGALG00000000106	LRIF1	4.67812649269113	4.76970724190214	4.72391686729664	888.707316275013	1.16663963072259e-12	4.06923343622872e-12
34	Gga.1012.1.S1_at	ENSGALG00000002943	PRPF8	9.88175012916182	10.0263611671216	9.95405564814169	2737.6136279112	2.82774189138731e-15	4.38277188794941e-14
35	Gga.10123.1.S1_a_at	ENSGALG00000012523	IFT27	6.50149596842227	6.64382638739242	6.57266117790735	1218.9285679806	2.15551779966229e-13	1.02061829494234e-12
36	Gga.10125.1.S1_a_at	ENSGALG00000012082	FAIM	4.88641994910838	5.06560668587553	4.97601331749195	1072.405046109	4.27521645378591e-13	1.780784244155e-12
37	Gga.1013.2.S1_a_at	ENSGALG00000003101	PROSC	6.10878112531308	6.34255706074605	6.22566909302957	1881.36160653519	2.11110682638837e-14	1.69055675401492e-13
38	Gga.10132.1.S1_at	ENSGALG00000015386	RNF170	3.00654118464336	3.24480675455052	3.12567396959694	467.875562886415	3.55827939946305e-11	7.8147150929357e-11
39	Gga.10137.1.S1_s_at	NA	NA	3.550658216984	3.54449479983536	3.54757650840968	440.397947120818	4.90681601399105e-11	1.0412288503135e-10
40	Gga.10139.1.S1_at	ENSGALG00000013951	AHI1	5.11010712925337	4.95261003865901	5.03135858395619	789.900283371673	2.18863625929305e-12	6.89903235482257e-12
41	Gga.10139.1.S1_s_at	ENSGALG00000013951	AHI1	6.06085765956972	5.9225197103785	5.99168868497411	758.70382288514	2.71357035135001e-12	8.28995526666602e-12
42	Gga.1014.1.S1_at	NA	NA	8.3626272897425	8.22712329766884	8.29487529370567	793.013106622426	2.14318190000347e-12	6.77686951894811e-12
43	Gga.10140.1.S1_s_at	ENSGALG00000017249	PCF11	7.37439121896446	8.20098180562715	7.78768651229581	470.50462410365	3.45393645640682e-11	7.61689096450748e-11
44	Gga.10146.1.S1_at	ENSGALG00000015267	C1H3ORF26	5.36092110820713	4.91151627862252	5.13621869341483	406.93981976316	7.46174671102444e-11	1.51545292232039e-10
45	Gga.10146.2.S1_a_at	ENSGALG00000015267	C1H3ORF26	6.88671037026032	7.07609839308112	6.98140438167072	1788.73567034749	2.76668782256703e-14	2.05063529741287e-13
46	Gga.1015.1.S1_s_at	ENSGALG00000005054	DKC1	9.05964775413203	9.28340922517324	9.17152848965263	2414.35633803238	5.54624955299313e-15	6.68716249428952e-14
47	Gga.10151.1.S1_s_at	ENSGALG00000013400	PDCD6	7.54802282896334	7.57021775448163	7.55912029172249	2685.50039164647	3.13468164887967e-15	4.66296026391783e-14
48	Gga.10156.2.S1_a_at	ENSGALG00000011739	ERP27	3.80116780023631	3.77991489222627	3.79054134623129	603.470729777194	9.19219704547167e-12	2.38478448996922e-11
49	Gga.10157.2.S1_at	ENSGALG00000015409	PROS1	3.88794870859422	3.97062009382824	3.92928440121123	462.812604412831	3.76994914882435e-11	8.23348326036991e-11
50	Gga.1016.1.A1_at	ENSGALG00000004000	FLOT2	7.01590555903843	7.06905041045008	7.04247798474425	1758.03862380256	3.03546977641209e-14	2.19071324194007e-13
51	Gga.10169.1.S1_s_at	NA	NA	5.60600533614153	5.55574346789233	5.58087440201693	414.549801347528	6.76347970563564e-11	1.38949563295148e-10
52	Gga.10177.1.S1_at	ENSGALG00000006368	PTPN5	4.71763002694269	4.42859250216048	4.57311126455159	684.343279910612	4.70359122812316e-12	1.33468654677837e-11
53	Gga.10180.1.S1_a_at	ENSGALG00000004886	VPS53	6.07076285659669	6.55667986280042	6.31372135969856	704.917571513169	4.0165098890053e-12	1.16483029359881e-11
54	Gga.10186.1.S1_at	ENSGALG00000015499	CADM2	7.70167384999832	7.40106930743641	7.55137157871737	547.307030819999	1.54606959065566e-11	3.74749797740082e-11
55	Gga.10188.1.S1_s_at	ENSGALG00000015611	CASP8AP2	6.0608850106996	5.98518806376176	6.02303653723068	1416.45070795078	9.6511747486968e-14	5.37952225914164e-13
56	Gga.10207.2.S1_at	ENSGALG00000003016	MASP2	3.57369542738275	3.71908491349999	3.64639017044137	588.078836089282	1.05477895938418e-11	2.68500620137809e-11
57	Gga.1021.1.S1_at	ENSGALG00000002490	UQCRC2	8.83721758181926	9.02046353558359	8.92884055870143	2393.32814940225	5.81251327177611e-15	6.87873722723307e-14
58	Gga.10210.1.S1_at	ENSGALG00000003181	SURF2	8.37352359902662	8.52070406550977	8.44711383226819	1913.80888780887	1.92631136436498e-14	1.5868743296927e-13
59	Gga.10211.1.S1_at	NA	C14H8ORF33	7.23368186651682	6.74460852813777	6.98914519732729	540.624280478596	1.65048881372477e-11	3.97852057079849e-11
60	Gga.10211.2.S1_a_at	NA	C14H8ORF33	5.69364580768076	5.62005154921916	5.65684867844996	778.348489478077	2.36762396971441e-12	7.37254780848042e-12
61	Gga.10216.2.S1_a_at	ENSGALG00000010789	PARS2	4.75292254304522	4.4676080320725	4.61026528755886	558.516121487101	1.38797840361854e-11	3.40640492135674e-11
62	Gga.10218.2.S1_s_at	ENSGALG00000028523	CABP2	4.19333680409463	4.12797179697402	4.16065430053432	704.684616926665	4.02359423574181e-12	1.16635682679822e-11
63	Gga.1022.2.S1_a_at	ENSGALG00000010432	GSTZ1	6.4533750721421	6.68028961800935	6.56683234507572	1024.54947495125	5.45664852913472e-13	2.1676587036263e-12
64	Gga.10221.2.S1_a_at	ENSGALG00000001844	ALKBH4	5.45896226029912	5.23108940223374	5.34502583126643	453.906112234018	4.1797275312356e-11	9.02180856051404e-11
65	Gga.10224.1.S1_at	NA	TRIM65	2.92688517842745	3.21599274079629	3.07143895961187	383.833961096158	1.01717807826189e-10	1.99644051124544e-10
66	Gga.10227.1.S1_at	ENSGALG00000010535	SGMS2	5.63687069766107	5.79652304622442	5.71669687194274	787.838488806968	2.2193731411497e-12	6.97989402712421e-12
67	Gga.10246.1.S1_at	NA	NA	3.88090382302911	4.13018645740869	4.0055451402189	413.501485427092	6.85491563713409e-11	1.40617593798783e-10
68	Gga.10256.1.S1_at	ENSGALG00000007027	SGSH	5.38159200211497	5.33091854763833	5.35625527487665	850.768022603014	1.47266533996807e-12	4.95763796967004e-12
69	Gga.10260.1.S1_at	ENSGALG00000003000	SUGP1	3.45632043326065	3.52834591571291	3.49233317448678	588.270212514624	1.05295346626667e-11	2.68071435530257e-11
70	Gga.10265.1.S1_s_at	ENSGALG00000003033	STXBP4	3.27720871508173	2.96483066752341	3.12101969130257	603.988872702809	9.15028409806166e-12	2.37487251965762e-11
71	Gga.10268.1.S1_at	ENSGALG00000014194	SAMM50	6.05502940274477	6.2845048395678	6.16976712115628	1283.51680851309	1.63531655201305e-13	8.15282718888168e-13
72	Gga.10285.1.S1_s_at	ENSGALG00000014758	ARHGAP28	3.0873099359143	2.98972173710483	3.03851583650957	404.429186841528	7.71064923670005e-11	1.55981582923705e-10
73	Gga.1029.2.S1_a_at	ENSGALG00000003522	RBBP4	9.40098689317172	9.45810212649887	9.4295445098353	3164.23413809568	1.30063800677879e-15	2.83412265898885e-14
74	Gga.1029.3.S1_at	ENSGALG00000003522	RBBP4	4.11730376642732	4.15565699980793	4.13648038311763	512.339067979661	2.19646843915441e-11	5.10631751930671e-11
75	Gga.10299.1.S1_a_at	ENSGALG00000027620	ACN9	4.07555970657333	4.35695365688203	4.21625668172768	674.019940763819	5.10052984017965e-12	1.43167931938678e-11
76	Gga.1030.1.S1_at	ENSGALG00000016308	MYC	5.73304039384283	5.68039106603435	5.70671572993859	544.950504388741	1.58197098368175e-11	3.82631516931532e-11
77	Gga.10313.1.S1_s_at	NA	HS1BP3	3.29431534477301	3.10700451866337	3.20065993171819	473.93664943799	3.32313459197894e-11	7.36137894458774e-11
